Player,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Cade Otton,59,600,4,7,1,44,31,52.5,2,311,87
George Pickens,59,900,3,17,4,44,37,62.7,1,215,103
Xavier Worthy,59,638,6,4,1,54,36,61,0,407,98
Jaylen Waddle,58,744,2,12,1,63,38,65.5,0,236,83
Jameson Williams,58,1001,7,17,6,82,42,72.4,0,497,91
Breece Hall,57,483,3,5,1,57,15,26.3,1,496,76
DeAndre Hopkins,56,610,5,6,0,35,35,62.5,1,109,80
Mark Andrews,55,673,11,6,1,67,39,70.9,0,188,69
Quentin Johnston,55,711,8,12,1,66,32,58.2,0,306,91
Jayden Reed,55,857,6,15,5,70,29,52.7,0,380,75
Chase Brown,54,360,4,2,0,34,23,42.6,0,326,65
Rome Odunze,54,734,3,8,2,47,37,68.5,2,246,101
Dalton Schultz,53,532,2,5,0,32,26,49.1,0,214,85
Jahmyr Gibbs,52,517,4,6,1,54,26,50,1,593,63
Chig Okonkwo,52,479,2,4,1,70,19,36.5,2,249,70
Javonte Williams,52,346,0,3,0,34,14,26.9,0,395,70
Tyler Conklin,51,449,4,7,0,27,24,47.1,0,262,72
Tank Dell,51,667,3,9,1,50,35,68.6,0,164,81
Aaron Jones,51,408,2,4,0,25,20,39.2,2,411,62
Deebo Samuel Sr.,51,670,3,10,3,76,28,54.9,0,421,81
Rachaad White,51,393,6,3,0,32,18,35.3,1,516,57
Will Dissly,50,481,2,5,0,29,24,48,0,303,64
Chris Godwin,50,576,5,7,2,55,32,64,1,350,62
Juwan Johnson,50,548,3,8,0,30,27,54,2,212,66
Tucker Kraft,50,707,7,11,2,67,30,60,1,456,70
Xavier Legette,49,497,4,7,0,35,27,55.1,0,112,84
Tyler Lockett,49,600,2,7,0,37,36,73.5,0,134,74
Jalen Tolbert,49,610,7,8,1,48,29,59.2,0,166,79
Noah Fant,48,500,1,3,0,32,25,52.1,0,277,64
Adam Thielen,48,615,5,9,1,40,28,58.3,0,152,62
James Conner,47,414,1,4,1,44,17,36.2,2,483,55
Stefon Diggs,47,496,3,5,1,49,31,66,0,185,64
Evan Engram,47,365,1,2,0,24,17,36.2,1,150,64
Bucky Irving,47,392,0,3,1,42,16,34,0,528,52
Cole Kmet,47,474,4,7,0,31,25,53.2,0,181,55
Kyle Pitts,47,602,4,7,3,52,21,44.7,0,272,74
Tre Tucker,47,539,3,6,2,58,24,51.1,0,208,81
Michael Wilson,47,548,4,10,1,41,27,57.4,1,130,71
Romeo Doubs,46,601,4,8,0,39,33,71.7,0,135,72
Kenneth Walker III,46,299,1,1,0,21,19,41.3,0,363,53
Rashod Bateman,45,756,9,11,4,59,35,77.8,0,184,72
Austin Hooper,45,476,3,5,0,38,25,55.6,2,225,59
Olamide Zaccheaus,45,506,3,5,2,49,26,57.8,0,284,64
Amari Cooper,44,547,4,8,0,30,24,54.6,0,111,85
Dalton Kincaid,44,448,2,5,0,29,23,52.3,1,274,75
Kayshon Boutte,43,589,3,11,2,48,25,58.1,0,150,68
Chuba Hubbard,43,171,1,1,0,20,10,23.3,3,245,54
Tutu Atwell,42,562,0,10,1,50,29,69,0,104,62
Zach Charbonnet,42,340,1,4,0,32,8,19,0,377,52
Dallas Goedert,42,496,2,6,2,61,20,47.6,2,257,52
Justice Hill,42,383,3,3,0,27,17,40.5,0,438,51
Isaiah Likely,42,477,6,4,2,49,26,61.9,1,256,58
D'Andre Swift,42,386,0,5,1,42,12,28.6,1,405,52
T.J. Hockenson,41,455,0,5,0,34,30,73.2,0,145,62
Tony Pollard,41,238,0,2,0,30,9,22,0,221,57
Devaughn Vele,41,475,3,7,0,37,26,63.4,0,127,55
Ameer Abdullah,40,261,3,1,0,24,16,40,0,252,47
Jordan Akins,40,390,2,3,0,21,20,50,1,177,58
Noah Gray,40,437,5,6,0,35,25,62.5,0,210,49
Brenton Strange,40,411,2,7,0,30,21,52.5,1,183,53
Tyler Boyd,39,390,0,4,1,40,20,51.3,0,189,57
Rico Dowdle,39,249,3,1,0,22,13,33.3,0,272,49
Travis Etienne,39,254,0,2,0,26,13,33.3,0,296,52
Marvin Mims Jr.,39,503,6,7,3,93,14,35.9,1,477,52
Josh Palmer,39,584,1,10,1,45,28,71.8,0,101,65
Darius Slayton,39,573,2,9,2,43,30,76.9,0,124,71
Dontayvion Wicks,39,415,5,4,0,36,25,64.1,0,139,76
Tyrone Tracy Jr.,38,284,1,0,0,19,13,34.2,2,281,53
Jaylen Warren,38,310,0,3,0,29,16,42.1,1,315,47
Greg Dortch,37,342,3,2,0,39,16,43.2,1,294,50
Jerome Ford,37,225,0,3,0,26,10,27,0,294,43
Allen Lazard,37,530,6,8,2,52,29,78.4,0,155,60
Jalen McMillan,37,461,8,8,0,33,23,62.2,0,133,58
Alec Pierce,37,824,7,13,7,65,32,86.5,0,118,69
Calvin Austin III,36,548,4,10,3,55,18,50,0,152,58
Najee Harris,36,283,0,4,0,32,13,36.1,0,329,48
Andrei Iosivas,36,479,6,7,0,39,26,72.2,0,67,61
Josh Jacobs,36,342,1,5,1,49,15,41.7,0,403,43
Alexander Mattison,36,294,1,3,0,31,13,36.1,0,314,48
Joe Mixon,36,309,1,4,0,37,12,33.3,0,360,52
David Montgomery,36,341,0,2,1,40,16,44.4,0,365,38
Noah Brown,35,453,1,4,1,52,21,60,0,83,56
Austin Ekeler,35,366,0,8,0,34,14,40,1,424,41
Kyren Williams,34,182,2,1,0,26,6,17.6,0,179,40
Saquon Barkley,33,278,2,4,1,43,12,36.4,0,245,43
Diontae Johnson,33,375,3,5,0,39,21,63.6,0,91,67
Tim Patrick,33,394,3,6,1,42,20,60.6,0,141,44
Ja'Tavion Sanders,33,342,1,6,1,46,13,39.4,1,190,43
Rhamondre Stevenson,33,168,1,0,0,16,8,24.2,1,237,41
Jalen Coker,32,478,2,6,1,83,23,71.9,0,171,46
James Cook,32,258,2,3,0,28,14,43.8,0,260,38
J.K. Dobbins,32,153,0,0,0,15,6,18.8,0,204,38
David Moore,32,351,3,2,0,21,18,56.2,0,60,57
Foster Moreau,32,413,5,7,1,41,21,65.6,0,158,43
Chris Olave,32,400,1,4,0,39,22,68.8,1,121,44
Sterling Shepard,32,334,1,4,0,30,16,50,0,99,51
Parker Washington,32,390,3,6,0,30,19,59.4,1,108,51
Nick Westbrook-Ikhine,32,497,9,4,1,98,25,78.1,0,124,60
Mack Hollins,31,378,5,4,1,44,25,80.6,0,90,50
Lil'Jordan Humphrey,31,293,1,5,1,41,12,38.7,2,192,45
Ricky Pearsall,31,400,3,5,2,46,19,61.3,0,114,46
Demarcus Robinson,31,505,7,9,2,46,27,87.1,0,61,64
Curtis Samuel,31,253,1,2,0,38,9,29,0,160,46
KaVontae Turpin,31,420,2,6,1,64,18,58.1,1,260,52
AJ Barner,30,245,4,1,0,20,18,60,0,164,38
Dyami Brown,30,308,1,5,2,51,13,43.3,1,218,40
Colby Parkinson,30,294,1,2,0,23,15,50,0,152,49
Tyjae Spears,30,224,1,2,1,43,9,30,0,255,35
Keon Coleman,29,556,4,12,4,64,22,75.9,0,215,57
Theo Johnson,29,331,1,4,0,35,16,55.2,0,149,43
Cedric Tillman,29,339,3,6,0,38,15,51.7,1,104,49
Christian Watson,29,620,2,12,5,60,21,72.4,1,149,53
Kendrick Bourne,28,305,1,2,0,37,13,46.4,0,94,38
Troy Franklin,28,263,2,5,0,30,11,39.3,0,163,53
Jalen Nailor,28,414,6,8,0,33,22,78.6,0,106,42
Samaje Perine,28,322,1,5,0,36,16,57.1,0,313,35
Josh Whyle,28,248,1,3,0,33,14,50,0,143,37
Christian Kirk,27,379,1,7,1,61,18,66.7,0,113,47
Luke Schoonmaker,27,241,1,3,0,24,11,40.7,0,97,36
Brandin Cooks,26,259,3,3,0,29,19,73.1,0,55,54
Tyler Johnson,26,291,1,4,1,63,10,38.5,0,180,41
Malik Washington,26,223,0,2,0,20,13,50,0,123,36
Brandon Aiyuk,25,374,0,5,1,53,20,80,0,92,47
Grant Calcaterra,24,298,1,6,0,34,15,62.5,0,126,30
Van Jefferson,24,276,2,4,1,43,12,50,0,78,40
Jaleel McLaughlin,24,76,2,0,0,11,3,12.5,1,167,27
John Metchie III,24,254,1,3,0,28,11,45.8,1,69,37
Rashee Rice,24,288,2,3,1,44,15,62.5,0,186,29
Miles Sanders,24,148,1,2,0,33,5,20.8,1,150,30
Antonio Gibson,23,206,0,2,1,50,11,47.8,0,213,29
Taysom Hill,23,187,0,2,0,34,8,34.8,1,137,31
Kareem Hunt,23,176,0,1,0,26,10,43.5,0,216,32
Adonai Mitchell,23,312,0,4,0,36,16,69.6,1,96,55
Zack Moss,23,187,1,1,0,21,11,47.8,0,194,27
Tommy Tremble,23,234,2,2,0,38,12,52.2,1,125,32
Dawson Knox,22,311,1,7,0,39,12,54.6,0,94,33
Josh Oliver,22,258,3,5,0,28,14,63.6,0,129,28
Justin Watson,22,289,2,2,1,49,13,59.1,0,68,32
Jordan Whittington,22,293,0,4,1,50,14,63.6,0,180,28
Michael Mayer,21,156,0,1,0,29,8,38.1,0,61,32
Devin Singletary,21,119,0,1,0,23,4,19,0,178,24
Mike Williams,21,298,1,6,0,32,14,66.7,0,35,34
Erick All,20,158,0,1,0,28,8,40,0,87,22
Gabe Davis,20,239,2,6,0,22,13,65,1,39,42
Elijah Higgins,20,172,2,1,0,23,10,50,0,90,24
Brian Robinson,20,159,0,1,0,32,4,20,0,179,25
Drew Sample,20,109,1,0,0,12,8,40,1,81,22
Rashid Shaheed,20,349,3,5,3,70,12,60,0,106,41
Cedrick Wilson Jr.,20,211,1,1,0,25,8,40,0,89,27
Robert Woods,20,203,0,2,0,32,12,60,3,73,30
Braelon Allen,19,148,1,0,0,15,8,42.1,0,163,27
Jahan Dotson,19,216,0,2,0,36,12,63.2,0,72,33
Derrick Henry,19,193,2,2,0,27,11,57.9,0,216,22
Tanner Hudson,19,154,1,0,0,19,9,47.4,1,97,23
Kyle Juszczyk,19,200,2,3,0,36,8,42.1,0,92,31
Lucas Krull,19,152,0,1,0,23,7,36.8,0,67,23
Raheem Mostert,19,161,0,1,0,25,10,52.6,0,146,23
Johnny Mundt,19,142,2,1,0,20,8,42.1,0,83,27
Dare Ogunbowale,19,198,1,2,0,31,8,42.1,0,168,28
Marquez Valdes-Scantling,19,411,4,8,3,71,14,73.7,0,143,44
Darnell Washington,19,200,1,3,0,29,9,47.4,0,126,25
Ty Johnson,18,284,3,5,1,41,14,77.8,0,170,25
Luke McCaffrey,18,168,0,2,0,30,8,44.4,0,97,24
Jeremy Ruckert,18,105,0,0,0,12,6,33.3,0,84,28
JuJu Smith-Schuster,18,231,2,3,1,50,11,61.1,0,155,26
Jonathan Taylor,18,136,1,1,0,25,7,38.9,1,150,31
Ray Davis,17,189,3,2,2,63,8,47.1,0,164,19
Jonathan Mingo,17,167,0,2,0,35,6,35.3,0,67,42
Kalif Raymond,17,215,2,3,0,38,10,58.8,0,137,22
Nick Vannett,17,135,3,1,0,24,7,41.2,0,110,20
Emari Demercado,16,104,0,1,0,24,3,18.8,0,95,20
Kenneth Gainwell,16,116,0,0,0,16,5,31.2,0,108,22
Roschon Johnson,16,104,0,0,0,17,6,37.5,0,93,20
Trey Sermon,16,99,0,0,0,14,3,18.8,0,95,19
Stone Smartt,16,208,0,4,0,31,11,68.8,1,66,19
DJ Turner,16,158,1,2,0,30,9,56.2,0,83,29
Isaac Guerendo,15,152,0,3,1,40,7,46.7,1,107,16
Christian McCaffrey,15,146,0,2,0,30,6,40,1,98,19
Cade Stover,15,133,1,1,0,27,5,33.3,0,94,22
Nate Adkins,14,115,3,0,0,16,6,42.9,0,76,15
Nelson Agholor,14,231,2,5,1,56,10,71.4,0,85,29
Cam Akers,14,68,3,0,0,9,4,28.6,0,83,18
Daniel Bellinger,14,125,0,0,0,17,8,57.1,0,53,17
Kylen Granson,14,182,0,3,1,40,8,57.1,0,109,31
Pierre Strong,14,104,0,2,0,21,3,21.4,0,123,22
Mason Tipton,14,99,0,0,0,15,2,14.3,0,27,26
Tyler Allgeier,13,88,0,0,0,13,2,15.4,0,93,13
Jake Bobo,13,107,1,0,0,15,8,61.5,0,27,17
Derius Davis,13,112,2,1,0,23,5,38.5,0,119,17
Josh Reynolds,13,194,1,4,1,49,8,61.5,0,35,24
Adam Trautman,13,188,2,2,0,37,8,61.5,0,98,22
Brock Wright,13,100,2,0,0,16,7,53.8,0,75,16
Mo Alie-Cox,12,147,1,2,0,22,7,58.3,0,49,22
Jalen Brooks,12,177,1,2,1,41,8,66.7,0,37,30
Ezekiel Elliott,12,69,0,0,0,15,3,25,0,97,15
Luke Farrell,12,67,0,0,0,11,4,33.3,0,30,17
Mecole Hardman,12,90,0,0,0,17,6,50,0,99,14
Julian Hill,12,100,0,0,0,17,5,41.7,1,58,19
Xavier Hutchinson,12,117,0,0,0,19,6,50,0,37,26
D'Ernest Johnson,12,96,0,2,0,26,3,25,0,101,19
Hunter Luepke,12,111,0,1,0,24,5,41.7,0,84,16
Ryan Miller,12,128,2,2,0,39,7,58.3,0,55,20
Jordan Mims,12,71,0,1,0,25,4,33.3,0,80,18
Isiah Pacheco,12,79,0,1,0,23,4,33.3,0,119,16
Trey Palmer,12,172,1,2,0,27,7,58.3,0,42,22
Cordarrelle Patterson,12,80,1,1,0,20,5,41.7,0,56,14
Dante Pettis,12,120,1,1,0,20,8,66.7,0,36,28
Ja'Lynn Polk,12,87,2,1,0,21,4,33.3,0,13,33
Kevin Austin Jr.,11,151,0,2,0,23,10,90.9,1,37,22
Chris Brooks,11,69,0,0,0,15,2,18.2,0,95,13
Michael Carter,11,57,0,0,0,18,2,18.2,0,73,11
Payne Durham,11,115,2,2,0,31,5,45.4,1,24,14
Devin Duvernay,11,79,0,1,0,28,7,63.6,0,63,16
Tyler Goodson,11,61,1,1,0,24,3,27.3,0,67,15
Alec Ingold,11,96,0,1,0,25,3,27.3,0,76,12
Jordan Mason,11,91,0,1,0,24,6,54.6,0,53,14
Eric Saubert,11,97,1,1,0,20,7,63.6,1,15,14
Tylan Wallace,11,193,1,2,1,84,5,45.4,0,127,12
Emanuel Wilson,11,48,1,1,0,30,3,27.3,0,99,14
Michael Burton,10,65,1,1,0,28,3,30,0,41,10
Ryan Flournoy,10,102,0,1,0,26,5,50,1,34,14
Eric Gray,10,82,0,0,0,19,3,30,0,103,11
JaMycal Hasty,10,59,1,0,0,16,2,20,0,72,12
Malik Heath,10,97,2,1,1,41,5,50,0,23,13
Khalil Herbert,10,25,0,0,0,7,0,0,1,44,11
Odell Beckham Jr.,9,55,0,0,0,11,3,33.3,0,14,18
Marquise Brown,9,91,0,1,0,20,5,55.6,0,46,15
Harrison Bryant,9,86,0,0,0,18,5,55.6,0,71,12
DeAndre Carter,9,72,0,0,0,14,3,33.3,0,32,14
Jamison Crowder,9,72,2,0,0,12,4,44.4,0,11,13
Isaiah Davis,9,75,1,1,0,24,4,44.4,0,75,12
Rakim Jarrett,9,124,0,2,0,30,5,55.6,0,18,11
Charlie Kolar,9,131,1,2,1,55,4,44.4,0,76,11
Jeremy McNichols,9,27,0,0,0,10,1,11.1,0,33,12
Bub Means,9,118,1,1,0,36,7,77.8,0,20,15
Andrew Ogletree,9,109,1,3,0,22,6,66.7,0,50,14
Durham Smythe,9,53,0,0,0,8,1,11.1,0,16,17
Brevyn Spann-Ford,9,88,0,0,0,18,6,66.7,0,53,14
Sean Tucker,9,109,1,1,0,36,6,66.7,0,105,12
Jamaal Williams,9,57,0,0,0,13,3,33.3,0,53,11
John Bates,8,84,0,1,0,20,3,37.5,1,49,13
Pharaoh Brown,8,65,0,0,0,17,2,25,1,30,12
Gerald Everett,8,36,0,0,0,17,1,12.5,0,41,13
Tyler Higbee,8,66,2,0,0,17,5,62.5,0,48,12
Hayden Hurst,8,73,0,1,0,27,2,25,0,20,13
Jalin Hyatt,8,62,0,0,0,19,3,37.5,0,6,19
Zay Jones,8,84,0,1,0,25,5,62.5,0,19,11
Bo Melton,8,91,0,1,0,28,5,62.5,0,7,17
Trent Sherfield,8,83,1,0,0,17,4,50,0,40,9
Tank Bigsby,7,54,0,1,0,28,1,14.3,0,64,12
Blake Corum,7,58,0,0,0,12,5,71.4,0,65,8
Britain Covey,7,34,0,0,0,11,2,28.6,0,28,8
River Cracraft,7,66,0,0,0,16,4,57.1,0,11,9
Tucker Fisk,7,39,0,0,0,10,1,14.3,0,21,8
KhaDarel Hodge,7,131,1,3,1,45,6,85.7,0,89,12
Hunter Long,7,60,0,0,0,18,2,28.6,0,30,9
Luke Musgrave,7,45,0,0,0,19,2,28.6,0,18,10
K.J. Osborn,7,57,1,1,0,22,2,28.6,0,16,18
Brandon Powell,7,71,0,0,0,13,5,71.4,0,12,10
Jalen Reagor,7,100,0,2,1,41,3,42.9,1,26,12
Ainias Smith,7,41,1,0,0,15,1,14.3,0,23,9
Carson Steele,7,26,0,0,0,9,0,0,0,43,11
Charlie Woerner,7,46,0,0,0,13,3,42.9,0,21,12
Mike Woods,7,65,0,0,0,16,4,57.1,0,35,17
Davis Allen,6,39,0,0,0,13,2,33.3,0,21,13
Trey Benson,6,59,0,0,0,19,3,50,0,78,6
Parris Campbell,6,30,1,0,0,7,1,16.7,0,9,8
Ty Chandler,6,42,0,0,0,10,2,33.3,0,53,6
Chris Conley,6,76,0,2,0,23,3,50,0,19,12
Simi Fehoko,6,106,0,2,0,30,6,100,0,16,16
D'Onta Foreman,6,54,0,0,0,16,1,16.7,0,48,8
Xavier Gipson,6,39,1,0,0,17,3,50,0,22,10
Connor Heyward,6,40,1,0,0,16,3,50,0,7,8
Sincere McCormick,6,29,0,0,0,15,2,33.3,0,29,7
Bryce Oliver,6,95,0,1,0,33,4,66.7,0,26,9
MyCole Pruitt,6,40,1,0,0,18,2,33.3,0,16,10
Tip Reiman,6,37,0,0,0,14,1,16.7,0,29,7
Zamir White,6,30,0,0,0,14,2,33.3,0,50,8
Blake Whiteheart,6,51,1,1,0,29,2,33.3,0,10,9
Nick Chubb,5,31,1,0,0,19,3,60,0,31,11
Devin Culp,5,88,0,2,0,26,4,80,0,31,6
Greg Dulcich,5,28,0,0,0,9,0,0,0,15,12
Audric Estimé,5,27,0,0,0,13,2,40,0,37,5
Cam Grandy,5,28,0,0,0,9,1,20,0,16,5
C.J. Ham,5,35,0,0,0,13,1,20,1,29,6
Peyton Hendershot,5,51,0,0,0,15,2,40,0,32,5
Kendre Miller,5,33,0,0,0,16,2,40,0,33,8
Scott Miller,5,69,0,2,0,21,2,40,0,33,9
Quintin Morris,5,36,1,0,0,14,3,60,0,22,8
Ronnie Rivers,5,34,0,0,0,14,1,20,0,58,6
Laviska Shenault Jr.,5,36,0,0,0,18,2,40,0,46,5
Ben Sinnott,5,28,1,0,0,12,2,40,0,19,5
Ben Skowronek,5,69,0,1,0,23,4,80,0,29,5
Kimani Vidal,5,62,1,1,0,38,2,40,0,37,9
Johnny Wilson,5,38,1,0,0,9,3,60,0,15,15
Kenny Yeboah,5,47,1,0,0,13,3,60,0,34,8
Treylon Burks,4,34,0,0,0,13,3,75,0,5,8
Jermaine Burton,4,107,0,2,2,47,4,100,0,22,14
DJ Chark,4,31,1,0,0,12,1,25,0,7,10
Jacob Cowing,4,80,0,1,1,41,3,75,0,26,6
Will Mallory,4,29,0,0,0,10,1,25,0,4,8
Scott Matlock,4,28,0,0,0,10,1,25,0,23,5
Will Shipley,4,35,0,0,0,13,2,50,0,28,4
Ben Sims,4,42,0,1,0,28,1,25,0,16,5
Deven Thompkins,4,20,0,0,0,12,2,50,0,28,4
Tyquan Thornton,4,47,0,0,0,17,2,50,0,24,8
Alex Bachman,3,31,0,0,0,18,2,66.7,0,10,3
Tyler Badie,3,-2,0,0,0,2,0,0,1,4,3
David Bell,3,27,0,0,0,12,1,33.3,0,8,3
Jonathon Brooks,3,23,0,0,0,18,2,66.7,0,31,3
Dan Chisena,3,37,0,1,0,23,2,66.7,0,9,4
Tanner Conner,3,16,0,0,0,11,1,33.3,0,5,4
Malachi Corley,3,16,0,0,0,10,1,33.3,0,5,6
DeeJay Dallas,3,11,1,0,0,5,1,33.3,0,20,3
Josiah Deguara,3,14,0,0,0,8,0,0,0,12,3
Gus Edwards,3,6,0,0,0,3,0,0,0,11,5
Clyde Edwards-Helaire,3,24,0,0,0,14,1,33.3,0,35,5
Dee Eskridge,3,44,0,1,0,30,2,66.7,0,29,3
Hassan Haskins,3,49,1,1,0,34,2,66.7,0,42,3
Dallin Holker,3,21,0,0,0,10,1,33.3,0,13,4
Travis Homer,3,11,0,0,0,6,0,0,0,10,3
Trenton Irwin,3,15,0,0,0,6,1,33.3,0,4,10
Tim Jones,3,41,0,1,0,20,3,100,0,17,5
Chris Manhertz,3,30,1,0,0,16,2,66.7,0,19,4
Terrace Marshall Jr.,3,41,0,1,0,28,1,33.3,0,4,6
Kenny McIntosh,3,22,0,0,0,15,1,33.3,0,17,4
James Proche,3,21,0,0,0,14,1,33.3,0,4,3
Craig Reynolds,3,40,0,1,0,26,2,66.7,0,42,5
Patrick Ricard,3,22,1,0,0,14,1,33.3,0,18,5
Allen Robinson,3,30,0,1,0,21,3,100,0,4,7
Patrick Taylor,3,25,0,0,0,12,2,66.7,0,19,11
Ian Thomas,3,7,0,0,0,3,1,33.3,0,6,6
Jamari Thrash,3,22,0,0,0,11,2,66.7,0,14,7
Sione Vaki,3,37,0,0,0,17,2,66.7,0,20,3
Deuce Vaughn,3,18,0,0,0,8,0,0,0,13,5
Jeff Wilson,3,19,0,0,0,7,0,0,0,19,3
Jaylen Wright,3,8,0,0,0,6,1,33.3,0,8,6
Jaheim Bell,2,20,0,0,0,19,1,50,0,5,3
Ronnie Bell,2,22,0,0,0,12,2,100,0,5,6
Julius Chestnut,2,11,0,0,0,9,0,0,0,14,3
Grant DuBose,2,11,0,0,0,13,1,50,0,3,4
Ashton Dulin,2,67,1,1,1,54,2,100,0,43,8
Isaiah Hodgins,2,12,0,0,0,7,0,0,0,1,2
Brevin Jordan,2,7,0,0,0,4,1,50,0,3,3
Mason Kinsey,2,17,0,0,0,11,1,50,0,0,2
Dameon Pierce,2,2,0,0,0,1,0,0,0,5,4
Nikko Remigio,2,48,0,2,0,25,2,100,0,14,6
Xavier Smith,2,6,0,0,0,11,1,50,0,5,2
Jack Stoll,2,10,0,0,0,6,0,0,0,2,3
J.J. Taylor,2,0,0,0,0,2,0,0,0,1,3
Eric Tomlinson,2,9,0,0,0,7,0,0,0,12,4
Austin Trammell,2,40,0,1,0,22,2,100,0,9,3
Cody White,2,44,0,1,0,28,2,100,0,13,3
Kristian Wilkerson,2,18,1,0,0,9,2,100,0,11,3
Isaiah Williams,2,6,0,0,0,4,0,0,0,7,3
Robbie Chosen,1,5,0,0,0,5,0,0,0,1,4
Javon Baker,1,12,0,0,0,12,1,100,0,0,4
Chris Blair,1,17,0,0,0,17,1,100,0,0,2
Mike Boone,1,-2,0,0,0,0,0,0,0,2,3
Mike Caliendo,1,5,0,0,0,5,1,100,0,3,1
Chris Collier,1,-4,0,0,0,-4,0,0,0,1,2
Dalvin Cook,1,10,0,0,0,10,1,100,0,7,1
Jaelon Darden,1,6,0,0,0,6,1,100,0,9,1
Zach Davidson,1,5,0,0,0,5,0,0,0,2,2
Divine Deablo,1,34,0,1,0,34,1,100,0,30,1
Ross Dwelley,1,5,0,0,0,5,0,0,0,4,1
John FitzPatrick,1,2,0,0,0,2,0,0,0,0,1
Joseph Fortson,1,5,0,0,0,5,1,100,0,2,3
Feleipe Franks,1,12,0,0,0,12,1,100,0,0,3
Myles Gaskin,1,11,0,0,0,11,0,0,0,13,1
Jared Goff,1,7,1,0,0,7,1,100,0,2,1
Anthony Gould,1,23,0,1,0,23,1,100,0,5,1
George Holani,1,-1,0,0,0,-1,0,0,0,0,1
Sam Hubbard,1,2,1,0,0,2,1,100,0,0,1
Jha'Quan Jackson,1,8,0,0,0,8,1,100,0,2,3
Jermar Jefferson,1,10,0,0,0,10,1,100,0,10,1
E.J. Jenkins,1,7,1,0,0,7,1,100,0,3,2
Brandon Johnson,1,9,0,0,0,9,0,0,0,4,1
